UA_cond [kW/C],UA_evap_sens [kW/C],COP [-]
1.334,0.4293,5.518
1.362,0.4293,5.547
1.39,0.4293,5.576
1.417,0.4293,5.603
1.445,0.4293,5.629
1.472,0.4293,5.655
1.5,0.4293,5.679
0.7,0.4431,4.368
0.7276,0.4431,4.449
0.7552,0.4431,4.527
0.7828,0.4431,4.601
0.8103,0.4431,4.672
0.8379,0.4431,4.739
0.8655,0.4431,4.803
0.8931,0.4431,4.864
0.9207,0.4431,4.923
0.9483,0.4431,4.978
0.9759,0.4431,5.031
1.003,0.4431,5.082
1.031,0.4431,5.131
1.059,0.4431,5.177
1.086,0.4431,5.222
1.114,0.4431,5.264
1.141,0.4431,5.305
1.169,0.4431,5.344
1.197,0.4431,5.382
1.224,0.4431,5.418
1.252,0.4431,5.453
1.279,0.4431,5.486
1.307,0.4431,5.518
1.334,0.4431,5.549
1.362,0.4431,5.579
1.39,0.4431,5.608
1.417,0.4431,5.635
1.445,0.4431,5.662
1.472,0.4431,5.687
1.5,0.4431,5.712
0.7,0.4569,4.385
0.7276,0.4569,4.468
0.7552,0.4569,4.547
0.7828,0.4569,4.622
0.8103,0.4569,4.693
0.8379,0.4569,4.761
0.8655,0.4569,4.826
0.8931,0.4569,4.887
0.9207,0.4569,4.946
0.9483,0.4569,5.003
0.9759,0.4569,5.056
1.003,0.4569,5.108
1.031,0.4569,5.157
1.059,0.4569,5.204
1.086,0.4569,5.249
1.114,0.4569,5.292
1.141,0.4569,5.333
1.169,0.4569,5.372
1.197,0.4569,5.41
1.224,0.4569,5.447
1.252,0.4569,5.482
1.279,0.4569,5.515
1.307,0.4569,5.548
1.334,0.4569,5.579
1.362,0.4569,5.609
1.39,0.4569,5.638
1.417,0.4569,5.665
1.445,0.4569,5.692
1.472,0.4569,5.718
1.5,0.4569,5.743
0.7,0.4707,4.402
0.7276,0.4707,4.485
0.7552,0.4707,4.565
0.7828,0.4707,4.641
0.8103,0.4707,4.713
0.8379,0.4707,4.782
0.8655,0.4707,4.847
0.8931,0.4707,4.91
0.9207,0.4707,4.969
0.9483,0.4707,5.026
0.9759,0.4707,5.08
1.003,0.4707,5.132
1.031,0.4707,5.181
1.059,0.4707,5.229
1.086,0.4707,5.274
1.114,0.4707,5.317
1.141,0.4707,5.359
1.169,0.4707,5.399
1.197,0.4707,5.437
1.224,0.4707,5.474
1.252,0.4707,5.509
1.279,0.4707,5.543
1.307,0.4707,5.576
1.334,0.4707,5.607
1.362,0.4707,5.637
1.39,0.4707,5.666
1.417,0.4707,5.694
1.445,0.4707,5.721
1.472,0.4707,5.747
1.5,0.4707,5.772
0.7,0.4845,4.418
0.7276,0.4845,4.502
0.7552,0.4845,4.583
0.7828,0.4845,4.659
0.8103,0.4845,4.732
0.8379,0.4845,4.801
0.8655,0.4845,4.867
0.8931,0.4845,4.93
0.9207,0.4845,4.99
0.9483,0.4845,5.048
0.9759,0.4845,5.102
1.003,0.4845,5.155
1.031,0.4845,5.205
1.059,0.4845,5.252
1.086,0.4845,5.298
1.114,0.4845,5.342
1.141,0.4845,5.384
1.169,0.4845,5.424
1.197,0.4845,5.462
1.224,0.4845,5.499
1.252,0.4845,5.535
1.279,0.4845,5.569
1.307,0.4845,5.602
1.334,0.4845,5.633
1.362,0.4845,5.664
1.39,0.4845,5.693
1.417,0.4845,5.721
1.445,0.4845,5.748
1.472,0.4845,5.774
1.5,0.4845,5.799
0.7,0.4983,4.433
0.7276,0.4983,4.518
0.7552,0.4983,4.599
0.7828,0.4983,4.677
0.8103,0.4983,4.75
0.8379,0.4983,4.82
0.8655,0.4983,4.887
0.8931,0.4983,4.95
0.9207,0.4983,5.011
0.9483,0.4983,5.069
0.9759,0.4983,5.124
1.003,0.4983,5.176
1.031,0.4983,5.227
1.059,0.4983,5.275
1.086,0.4983,5.321
1.114,0.4983,5.365
1.141,0.4983,5.407
1.169,0.4983,5.448
1.197,0.4983,5.487
1.224,0.4983,5.524
1.252,0.4983,5.559
