Rot,Condicao,T_evap,T_cond,T_sup,T_sub,CAP,W,V_cil,P_evap,P_cond,RP,h_1,h_3,m,v_1,eta_v,s_1,h_2s,W_s,eta_g,Sigma
4000,H,10.0,50.0,15.0,35.0,6611.46,1508.22,1.5e-05,1084818.4465495676,3062992.909558133,2.8235073982199093,430015.304859615,256386.38438715375,0.03807810347498315,0.024799483185304307,0.944317286856122,1812.324407431592,458889.31096016325,1099.4673920339712,0.7289834321478108,0.8333333333333334
3000,H,10.0,50.0,15.0,35.0,4745.37,1071.97,1.5e-05,1084818.4465495676,3062992.909558133,2.8235073982199093,430015.304859615,256386.38438715375,0.0273305275819684,0.024799483185304307,0.9037106122860279,1812.324407431592,458889.31096016325,789.141820132958,0.7361603590893009,0.625
3000,A,5.0,45.0,10.0,35.0,4020.49,963.82,1.5e-05,933176.1684178826,2726131.0316598183,2.9213466051986,428538.48883734277,256662.5006677969,0.023391807330492353,0.028924566549191975,0.9021305171156037,1821.3618044484456,458636.51092245046,704.0471336437428,0.7304757461390536,0.625
4800,A,5.0,45.0,10.0,35.0,6786.76,1739.96,1.5e-05,933176.1684178826,2726131.0316598183,2.9213466051986,428538.48883734277,256662.5006677969,0.03948637661536089,0.028924566549191975,0.9517719401645531,1821.3618044484456,458636.51092245046,1188.461835430012,0.6830397454136945,1.0
4000,A,5.0,45.0,10.0,35.0,5563.63,1356.84,1.5e-05,933176.1684178826,2726131.0316598183,2.9213466051986,428538.48883734277,256662.5006677969,0.03237002480248606,0.028924566549191975,0.9362889365985029,1821.3618044484456,458636.51092245046,974.2737214007091,0.7180461376438704,0.8333333333333334
4000,D,15.0,60.0,20.0,35.0,7601.41,1904.07,1.5e-05,1254289.546686933,3834827.6993713547,3.057370373133243,431305.92277635954,255826.80067791886,0.0433180307098627,0.021332441971012812,0.9240793764166968,1803.3626800505397,462116.09157556185,1334.6358382198991,0.7009384309504898,0.8333333333333334
3000,D,15.0,60.0,20.0,35.0,5426.39,1357.54,1.5e-05,1254289.546686933,3834827.6993713547,3.057370373133243,431305.92277635954,255826.80067791886,0.030923279847250955,0.021332441971012812,0.8795587638598279,1803.3626800505397,462116.09157556185,952.7514719187728,0.7018220250738636,0.625
4800,D,15.0,60.0,20.0,35.0,9277.0,2356.26,1.5e-05,1254289.546686933,3834827.6993713547,3.057370373133243,431305.92277635954,255826.80067791886,0.05286668800859265,0.021332441971012812,0.9398129617857846,1803.3626800505397,462116.09157556185,1628.831581399504,0.691278373948335,1.0
4800,G,5.0,50.0,10.0,35.0,6801.48,1869.41,1.5e-05,933176.1684178826,3062992.909558133,3.2823308322920055,428538.48883734277,256386.38438715375,0.03950854984737035,0.028924566549191975,0.9523063994352767,1821.3618044484456,462014.40758086933,1322.5850043651387,0.7074879263324464,1.0
4000,G,5.0,50.0,10.0,35.0,5564.13,1497.62,1.5e-05,933176.1684178826,3062992.909558133,3.2823308322920055,428538.48883734277,256386.38438715375,0.03232101064213212,0.028924566549191975,0.9348712232554925,1821.3618044484456,462014.40758086933,1081.9755259646722,0.7224633257866965,0.8333333333333334
3000,G,5.0,50.0,10.0,35.0,3961.33,1067.31,1.5e-05,933176.1684178826,3062992.909558133,3.2823308322920055,428538.48883734277,256386.38438715375,0.02301063941478672,0.028924566549191975,0.8874303614566112,1821.3618044484456,462014.40758086933,770.3022952859899,0.7217231125783418,0.625
3000,Check-Point,7.2,54.4,18.3,46.1,3757.66,1184.25,1.5e-05,997785.4910117456,3385602.299623575,3.393116386359361,435959.0414334255,276931.54580566386,0.023628995634790213,0.028153426787282852,0.8869829315481232,1840.7753998148346,471830.7826828284,847.6132173944644,0.715738414519286,0.625
4800,Check-Point,7.2,54.4,18.3,46.1,6443.79,2059.95,1.5e-05,997785.4910117456,3385602.299623575,3.393116386359361,435959.0414334255,276931.54580566386,0.040519974074691385,0.028153426787282852,0.9506467696120192,1840.7753998148346,471830.7826828284,1453.5220254398419,0.7056103426975616,1.0
4000,Check-Point,7.2,54.4,18.3,46.1,5224.24,1646.6,1.5e-05,997785.4910117456,3385602.299623575,3.393116386359361,435959.0414334255,276931.54580566386,0.03285117444236478,0.028153426787282852,0.9248731345393744,1840.7753998148346,471830.7826828284,1178.428829335506,0.7156740127143848,0.8333333333333334
4800,Rating Point,-1.1,43.3,10.0,35.0,5551.88,1603.64,1.5e-05,770460.4309601989,2618392.019430515,3.3984769550946323,432884.46505640005,256755.45455981535,0.03152166689829701,0.036449983882501626,0.9574702086604259,1855.3615810200413,469101.45834129496,1141.619998384317,0.7118929425459061,1.0
4000,Rating Point,-1.1,43.3,10.0,35.0,4507.96,1276.36,1.5e-05,770460.4309601989,2618392.019430515,3.3984769550946323,432884.46505640005,256755.45455981535,0.025594647850970657,0.036449983882501626,0.9329245016461853,1855.3615810200413,469101.45834129496,926.9611893478542,0.7262537131748521,0.8333333333333334
3000,Rating Point,-1.1,43.3,10.0,35.0,3233.97,914.63,1.5e-05,770460.4309601989,2618392.019430515,3.3984769550946323,432884.46505640005,256755.45455981535,0.018361370400492367,0.036449983882501626,0.892362206878119,1855.3615810200413,469101.45834129496,664.9936284961002,0.7270629965079871,0.625
4800,F,10.0,60.0,15.0,35.0,7881.24,2309.7,1.5e-05,1084818.4465495676,3834827.6993713547,3.53499492156371,430015.304859615,255826.80067791886,0.04524546575001915,0.024799483185304307,0.935053472565718,1812.324407431592,465319.851392526,1597.3706509747826,0.6915922634865059,1.0
3000,F,10.0,60.0,15.0,35.0,4566.69,1330.93,1.5e-05,1084818.4465495676,3834827.6993713547,3.53499492156371,430015.304859615,255826.80067791886,0.026216942509802384,0.024799483185304307,0.8668888332559119,1812.324407431592,465319.851392526,925.5772667879712,0.695436474335969,0.625
4000,F,10.0,60.0,15.0,35.0,6410.09,1857.28,1.5e-05,1084818.4465495676,3834827.6993713547,3.53499492156371,430015.304859615,255826.80067791886,0.03679973044210559,0.024799483185304307,0.9126142963227286,1812.324407431592,465319.851392526,1299.197795791899,0.6995163872931917,0.8333333333333334
4000,B,5.0,60.0,10.0,35.0,5261.17,1790.16,1.5e-05,933176.1684178826,3834827.6993713547,4.109435955563423,428538.48883734277,255826.80067791886,0.030462153755011673,0.028924566549191975,0.8811045935185534,1821.3618044484456,468570.2486497748,1219.4536224900023,0.6811981177604249,0.8333333333333334
3000,B,5.0,60.0,10.0,35.0,3805.38,1312.87,1.5e-05,933176.1684178826,3834827.6993713547,4.109435955563423,428538.48883734277,255826.80067791886,0.022033135339904683,0.028924566549191975,0.8497318525685688,1821.3618044484456,468570.2486497748,882.0251818418727,0.6718297941470769,0.625
4800,B,5.0,60.0,10.0,35.0,6544.62,2252.82,1.5e-05,933176.1684178826,3834827.6993713547,4.109435955563423,428538.48883734277,255826.80067791886,0.037893324243110274,0.028924566549191975,0.9133733156999606,1821.3618044484456,468570.2486497748,1516.936454594799,0.6733500477600514,1.0
